feature,importance
avg_battery_charge_start,0.96760684
avg_battery_charge_end,0.03239316
battery_event_count,0.0
total_calls,0.0
avg_call_duration,0.0
total_call_duration,0.0
avg_call_type,0.0
total_messages,0.0
avg_message_type,0.0
total_notifications,0.0
total_screen_events,0.0
avg_screen_status,0.0
avg_sleep_duration,0.0
avg_sleep_score,0.0
avg_sleep_total,0.0
avg_sleep_efficiency,0.0
avg_sleep_rem,0.0
avg_sleep_deep,0.0
avg_sleep_light,0.0
avg_sleep_awake,0.0
avg_steps,0.0
avg_activity_score,0.0
avg_activity_total,0.0
avg_daily_movement,0.0
avg_average_met,0.0
avg_readiness_score,0.0
avg_readiness_activity_balance,0.0
avg_readiness_hrv_balance,0.0
avg_readiness_resting_hr,0.0
avg_readiness_sleep_balance,0.0
avg_sleep_hr_average,0.0
avg_sleep_hr_lowest,0.0
avg_sleep_rmssd,0.0
avg_breath_variation,0.0
oura_record_count,0.0
